"","sentiment","Score"
"1","anger",2069
"2","anticipation",9326
"3","disgust",1468
"4","fear",2375
"5","joy",13780
"6","sadness",2376
"7","surprise",4212
"8","trust",7621
"9","negative",4528
"10","positive",17156
