"","sentiment","Score"
"1","anger",10152
"2","anticipation",37825
"3","disgust",7104
"4","fear",11865
"5","joy",46736
"6","sadness",11869
"7","surprise",17537
"8","trust",34305
"9","negative",23524
"10","positive",70272
