"","sentiment","Score"
"1","anger",2939
"2","anticipation",12008
"3","disgust",2104
"4","fear",3421
"5","joy",16201
"6","sadness",3411
"7","surprise",5576
"8","trust",10681
"9","negative",6790
"10","positive",22419
