"","sentiment","Score"
"1","anger",7213
"2","anticipation",25817
"3","disgust",5000
"4","fear",8444
"5","joy",30535
"6","sadness",8458
"7","surprise",11961
"8","trust",23624
"9","negative",16734
"10","positive",47853
